otazka,odpoved
Vymenuj kroky v krízovom riadení projektu(5),"1.Zastavenie zhubného pôsobenia krízy
2.identifikácia krízy
3.Odstránenie príčin krízy a dopadov
4.Navodenie bežného operatívneho riadenia projektu
5.Zapracovanie opatrení na zamedzenie ďalších kríz"
Čo je najlepším riešením krízy?,"Najlepším riešením krízy je zabrániť, aby nenastala!"
Čo má robiť manažer aby zvládol krízu?,"1. Ukľudniť seba a ostatných
2. Zanalyzovať situáciu. Bleskovo!
3. Urobiť akčný plán
4. Informovať nadriadeného
5. Zbaviť sa všetkého, čo nemusí byť ihneď
6. Pripraviť krízovú komunikáciu
7. Zostaviť tím krízového manažmentu
8. Monitorovať pokrok a prijímať rýchle rozhodnutia
9. Pripravovať riešenie po kríze
10. Ukončiť krízu správne"
Aké sú odlišnosti propjektového riadenia softvéru od iných prjektov?,"1.nehmotný 
2.proces vývoja softvéru je relatívne nový a stále vo vývoji
3.veľké softvérové projekty sú zvyčajne jednorazové
4.rapídny vývoj technológií
5.flexibilný"
"Ktorým z projektových štandardov by ste sa inšpirovali pri zostavení projektového tímu a výbere projektového manažéra? 

","1.PRINCE2 - metóda riadenia projektov
2.Project Management Body of Knowledge - súbor najlepších praktík na riadenie projektov
3.IPMA - súbor požadovaných spôsobilos; na riadenie projektov
"
"Z čoho pozostá životny cyklus softvérového projektu?

","Životný cyklus SW projektu je séria fáz, ktorými projekt prechádza od začiatku do konca.
"
Čo je to fáza(eatapa) v životnom cykle projektu?,"je súbor logicky súvisiacich projektových akIvít, ktoré sú ukončené dokončením jedného alebo viacerých výstupov."
Čo je to miľník v životnom cykle projektu?,"oddeľuje jednotlivé fázy. Predstavujú zásadné termíny alebo dokončené práce, ktoré sú nutné k dosiahnuIu cieľa projektu. Je to udalosť, ktorá nemá žiadnu dobu trvania a k jej dosiahnutiu je potrebné vykonať viacero aktivít."
Vymenuje procesy manažnemtu projektu(5),"1.INICIALIZÁCIA – definovanie projektu (fázy) s cieľom získať oprávnenie na začatie
2.PLÁNOVANIE – stanovenie rozsahu projektu, jeho cieľov a definovanie postupučinností potrebných na dosiahnutie cieľov
3.VYKONÁVANIE – koordinácia ľudí a zdrojov, tak aby sa plán realizoval a naplnili saciele
4.MONITORING A KONTROLA – sledovanie a kontrola pokroku a výkonnosti spolu spotrebnými zmenami
5.ZATVORENIE – formálna akceptácia projektu (fázy) a jeho ukončenie"
Ktorým z projektových štandardov by ste sa inšpirovali pri zostavení projektového tímu a výbere projektového manažéra? ,"1.PRINCE2 - metóda riadenia projektov
2.Project Management Body of Knowledge - súbor najlepších praktík na riadenie projektov
3.IPMA - súbor požadovaných spôsobilos; na riadenie projektov"
Aké poznáme podnikové prostredia? aj s príkladmi,"Interné:
1.organizácia, kultúra, riadenie
2.geografické rozdelenie
3.infraštruktúra a SW vybavenie
4.schopnosti zamestnancov

Externé:
1.trh
2.legislafva
3.finančné hľadisko"
Uveď priklad vedomostnej základne:,"1.Wiki
2.vykazovacie systémy
3.kontrolingový systém
4.reportovací systém"
Vymenuj topológia v organizačnej štrukúre a vysvetli ich:,"1.Funkčná topoogia - podľa funkcie
2.Projektová topológia - podľa porjektu
3.Maticová topológia - podľa úrvne(toto eset overit alebo ak vies spravne oprav)"
Čo je to projekt managment office(PMO)?,PMO štandardizuje postupy riadenia
Vymenuj typi proejct managment office a v skratke opiš,"PODPORA
1.sprostredkovanie šablón, postupov, školení, prístupov a zdieľaní z iných projektov
2.slúži ako úložisko projektov

KONTROLA
1:poskytujú podporu a vyžadujú a kontrolujú súlad používaných metodík, šablón, nástrojov

RIADENIE
1.priamo riadi projekty
2.projektových manažérov prideľuje PMO a zodpovedá za ne"
Ako môžu iné projekty zasahovať do chodu projektu?,"1. požiadavka na rovnaké zdroje
2. financovanie
3. zosúladenie projektových cieľov a cieľov organizácie"
Podľa ktorých kompetencii sa posudzujú projektoví manažéri?,"1. leadership
2. techické kompetencie
3. biznisové a strategické kompetencie"
Popíšte technické kompetencie projektového manažéra.,"Sú to zručnosti efekfvneho uplatňovania vedomosti o
projektovom riadení s cieľom dosiahnuť požadované výsledky pre projekt. 
Môže medzi ne patriť správa a prispôsobenie nástrojov, spravovanie artefaktov (plán, riziká atď.)"
Popíšte strategické a biznisové kompetencie projektového manažéra.,"Schopnosť vidieť projekt z perspektívy organizácie a implementovať rozhodnutia.
Môže medzi ne patriť znalosť financii a manažmentu, schopnosť komunikovať s ľuďmi, stackholdermi, znalosť domény atď."
Popíšte kritérium leadership pri hodnotení projektových manažérov.,"Je to schopnpsť viesť tím, motivovať ľudí, kominukovať s nimi, riešiť problémy a nevypičovať niekomu keď ma naserie.
Môže medzi ne patriť komunikácie počas konfliktov, sústrediť sa na dôležité veci."
Popíšte rozdiely medzi manažmentom a leadershipom.,"Manažment sa zameriava skôr na administratívne úkony a udržiavanie vecí, ktoré už fungujú, zatiaľ čo leadership sa zameriava skôr na inovácie a prinášanie nových myšlienok a komunikáciu."
Uveďte vlastnosti a schopnosti dobrého manažéra.,"Poznať dôvody a motiváciu.
Poznať čo zadávateľ od projektu očakáva.
Dôvera vo vlastným tím
Tímový hráč
Držím emócie pod kontrolou"
Komu sa zodpovedá projektový manažér?,Riadiacemu výboru.
Z akých rolí sa skladá projektový tím?,"1. Riadiaci výbor
2. Projektový manažér
3. Garant výstupu
4. Člen tímu
5. Subject Metter Expert (SME)
6. Administrátor"
Definujte riadiaci výbor.,definuje strategické zadanie celého projektu a dohliada na jeho naplnenie
Kto je to garant výstupu?,"Zodpovedá za dodržiavanie termínov a kvalitu výstupu
zadáva úlohy jednotlivým ľuďom
informuje o problémoch"
Kto je to člen tímu?,"Každy, kto sa podieľa na projekte (aj tvorba harmonogramu atď.)
Plní úlohy v stanovenom termíne"
Kto je to administrátor?,Poskytuje administratívnu podporu a pomáha projektovému manažérovi.
Kto je to SME (Subject Metter Expert)?,"Expert na obsah projektu a štandardy, ktoré majú byť v projekte použité
Môže byť aj vo funkcii poradcu alebo dohľadu."
Na čo slúži predprojektová príprava?,Posúdiť príležitosť a preskúmať realizovateľnosť projektu.
Aké analýzy sa vykonávajú v predprojektovej príprave?,"1. Analýza príležitosti.
2. Analýza uskutočniteľnosti.
3. SMART cieľ
4. Logický rámec
5. Ekonomické analýzy
6. Predprojektové úvahy"
Čím sa zaoberá štúdia príležitosti?,Je vhodná doba na realizáciu? Aké je vnútorné a vonkajšie prostredie organizácie?
Čím sa zaoberá štúdia uskutočniteľnosti?,"Posudzuje, či vieme uskutočniť daný projekt - rozoberá približný rozsah, začiatok a koniec projektu, náklady."
Čo rozoberá SMART cieľ?,"Potreba porozumenia, čo má byť projektom realizované, na čo to má slúžiť a
za akých podmienok by to malo byť realizovateľné."
Uveďte jeden príklad ekonomických analýz.,"Doba návratnosti = za aký čas sa mi vrátia všetky peniaze, ktoré som do toho investovala"
Čo je to logický rámec a v akej fáze projektu sa vypracováva?,"Vypracováva sa počas inicializácie projektu a je to logicky spracovaná a stručná tabuľka popisujúca súvislosti v projekte, podľa ktorej by mal kaźdý vedieť, čo ideme robiť, prečo to ideme a ako to ideme robiť. 
Slúži počas celého projektu."
Vymenujte základné časti logického rámca (4 + 1).,"1. Logická postupnosť krokov
2. Objektívne overiteľné ukazovatele
3. Zdroje overenia
4. Predpoklady
5. Out of scope"
Čo je to logická postupnosť krokov v logickom rámci?,"Je to základná stratégia ako budeme postupovať, ako za sebou budeme vykonávať aké aktivity aby sme dosiahli cieľ "
Čo sú to objektívne overiteľné ukazovatele v logickom rámci?,"Prostriedky, ktoré musíme využiť na aktivity z postupnosti krokov a musia byť merateľné napr. čas, financie, atď.."
Čo sú to zdroje overenia v logickom rámci?,"Hovoria o tom ako a kde môžme overiť naplnenie cieľov.
Posledný riadok obsahuje časový harmonogram."
Čo sú to predpoklady v logickom rámci?,"Externé faktory, ktoré sú potrebné na úspešnú realizáciu ale my ich nevieme ovplyvniť.
Faktory, ktoré musia byť splnené už pred začatím sa píšu dole."
"Čo obnáša ""out of scope"" v logickom rámci.","Explicitne povedané, čomu sa nebudeme venovať a čo nie je účelom projektu"
Aký je postup tvorby logického rámca?,"1. stanovenie cieľa projektu (Aká potreba má byť naplnená?)
2. stanovenie výstupov (Čo konkrétne máme vyprodukovať?)
3. stanovenie kľúčových činností pre dosiahnutie výstupov (Čo musíme urobiť aby sme dostali výstup?)
4. stanovenie účelu/ zámeru (Čo mám projektom vyriešiť?)
5. overenie vertikálnej logiky testom ""ak potom""
6. stanovenie predpokladov (Aké podmienky musia byť splnené aby sa mi to podarilo?)
7. stanovenie nákladov - financii a časový rámec (Koľko ma to bude stáť a ako dlho mi to bude trvať?)
8. stanovenie objektívnych ukazovateľov (Ako zmerať, že sme niečo dosiahli?)
9. prehodnotenie projektu s inými podobnými projektami"
Uveďte dôležité charakteristiky logického rámca.,"1. nie je to tautológia
2. neexistuje ideálny (je predmetom vyjednávania)
3. mal by sa aktualizovať poćas projektu ak sa niečo zmení
4. poskytuje základ pre monitorovanie a hodnotenie"
Definujte zahájenie projektu.,Zahŕňa aktivity súvsiace s definovaním nového projektu. Výsledkom je získanie povolenia na štart nového projektu alebo fázy.
Aké činnosti obnáša zahájenie projektu?,"1. Pridanie manažéra
2. Pochopenie cieľu zámeru, rozsahu a požiadaviek
3. Určenie kritérii úspechu
4. Analýza stackholderov
5. Rozdelenie do fáz"
Čo sú to kritéria úspechu?,"Metriky, podľa ktorých vieme povedať, že náš projekt je úspešný, napr. ""Do roka bude mať appka 1000 aktívnych používateľov""."
Uveďte základné vlastnosti kritérii úspechu.,"1. Sú merateľné jednoznačné a odkomunikované
2. Často sú akceptačnými kritériami
3. Nie je to to isté ako rizikové faktory
4. Menia sa počas projektu"
Aký je rozdiel medzi tvrdým a mäkkým kritériom úspechov? Daj príklad,"Tvrdé kritérium je odmeraný fakt  = pripojených minimálne 1000 používateľov a odozva neklesne pod 0,5s

Mäkké kritérium je subjektívne založené = zamestnanci vnímajú zmenu pozitívne"
Kto sú to stackolderi (zainteresované osoby)?,"subjekty (ľudia, organizácie,projekty), ktorých realizácia projektu ovplyvňuje.

Každý kto je pre úspech projektu dôležitý, by mal byť identifikovaný ako stakeholder."
Aké činnosti obnáša riadenie stackholderov?,"1.identifikácia stakeholderov a ich očakávaní
2.analíza stakeholderov
3.stratégia pre stakeholderov"
Čo je výsledkom identifikácie stackholderov?,Zoznam stackholderov
Aké typy stackholderov poznáme (4) a ako s nimi pracovať.,"1. Tvorcovia - Vysoký vplyv, nízky záujem (udržiavam spokojnosť)
2. Dav - Nízky vplyv, nízky záujem (sledujem)
3. Kľúčový hráči - Vysoký vplyv, vysoký záujem (aktívna spolupráca)
4. Dôležité osoby - Nízky vplyv, vysoký záujem (udržiavam ich informovaných)"
Podľa čoho sa posudzju stakeholderi?,"1.vply
2.záujem"
Čo je to charta projektu?,Je výsledkom inicializácie a je to zakladacia listina projektu.
Čo obsahuje charta projektu?,"1.formálne popisuje existenciu projektu,
2.definuje smerovanie projektu k naplneniu jeho cieľa
3.definuje harmonogram a výstupy
4.popisuje riadenie projektu
5.menuje projektového manažéra a realizačný tím projektu"
Kto schvaľuje chartu projektu?,Riadiaci výbor.
K čomu pomáha plánovanie projektu?,"1.zvýšenie porozumenia
2.zníženie neistoy
3.zlepšenie efektivity
4.podporovanie kontroly riadenia"
Čo je plán projektu?,"definovanie, príprava a koordinácia všetkých súčas8 projektu

najskôr sa dohodneme ČO, potom AKO a následne to spravíme"
Čo je plán riadenia projektu?,"dokument (sada dokumentov) pokrývajúci projekt vo všetkých relevantných otázkach riadenia projektu.

definuje základ všetkých projektových prác a spôsob ich vykonávania."
Plánovanie projektu obsahuje plánovanie čoho? Vymenujte 5,"1.integrácie – ako to bude celé koordinované a ako to bude fungovať spolu
2.rozsahu projektu – ako bude definovaný a spracovaný vecný rozsah projektu
3.času v projekte – ako bude definovaný a spracovaný harmonogram
4.nákladov a financovania projektu – ako bude definovaný a spracovaný rozpočet projektu
5.kvality – ako bude definovaná, sledovaná a riadená kvalita
6.ľudí – ako bude prebiehať riadenie ľudských zdrojov na projekte
7.komunikácie – ktoré informácie a akou formou ako často a komu budú komunikované
8.rizík – ako budú riadené riziká"
V čom sa odlišujú plány rôznych projektov? Na čom závysia tieto odlišnosti?,"najmä v miere podrobnosti plánovacieho procesu, ktorá je priamo úmerná druhu, rozsahu, komplexnosti a neurčitosti daného projektu."
Aké sú chyby pri plánovaní?,"1.neplánovanie(Shit you dont say)
2.nedostatočne detailné plánovanie
3.nevedieť kedy prestať plánovať - plánovanie by malo končiť na úrovni nutnej podrobnos8, nie na úrovni vyčerpania všetkých možností
4.nezapojenie ľudí do plánovania
5.nereflektovanie rizík a neistoty v plánovaní
6.neaktualizovanie plánu"
Aké sú základné procesy plánovania a podporné procesy plánovania?,"základné procesy plánovania(trojimperatív):
1.rozsah
2.čas
3.náklady

podporné procesy plánovania:
1.riziká
2.komunikácia
3.kvalita
4.ľudské zdroje"
Sú plány vytvorené v ostatných oblastiach projektu súčasťou celkového plánu projektu?,"No ne ty kokot(sarkazmus)

(Ano, sú)"
zjednodušuje  plán projektu komunikáciu medzi skupinami zapojenými do projektu?,Ano
Vymenuj časti v pláne riadenia projektu ktoré nie sú variabilné na základe typu projetku,"1.základný prehľad
2.organizovanie projektu
3.popis realizovaných prác
4.časový harmonogram a rozpočet"
Čo je rozsah produktu (product scope)?,"vlastnosti a funkcie charakterizujúce produkt, službu alebo výsledok"
Čo je rozsah projektu (project scope)?,"1.akákoľvek práca, ktorá je potrebná na vytvorenie výstupov (produktu) požadovaných v rámci projektu
2.definuje hranice projektu
3.čo má byť v rámci projektu vyprodukované (produkty, služby, dokumenty a ďalšie výsledky)"
Čo by malo obsahovať definovanie rozsahu?,"1. Akceptačné kritéria
2. "
Čo je to WBS?,"Work breakdown structure - dekompozícia projektu, hierarchická štruktúra vecí, ktorá máme dodať
Prehľadne ukazuje aktivity"
Čo definuje a nedefinuje WBS?,"WBS definuje ČO bude dodané (výsledok úsilia), nie činnosti ako to bude srpavené a kedy."
Pre čo vytvára základ WBS - work breakdown structure? ,"1.plánovanie termínov
2.rozdelenie úloh
3.plánovanie nákladov
4.plánovanie ľudských zdrojov."
Ako môžme členiť WBS - work breakdown structure?,"1. podľa výstupov (kategória = produkt na ktorom robíme)
2. podľa životného cyklu (kategória = analýza, návrh, implementácia, ..)
3. podľa miesta výkonu práce (kategória = miesto)
4. podľa kombinovaného prístupu"
Aké dokumenty sa chronologicky vytvárajú pri vytváraní štruktúry projektu?,"1. Logický rámec
2. WBS - wok breakdown structure
3. sieťová analýza: sieťový graf zoradených činností"
Do akej miery by mala byť urobená dekompozícia pri WBS - work breakdown structure?,"Objekty by mali byť oddlené a samostatne uskutočniteľné. Napr. pri bicykli to môže byť ""koleso"". Rozbíjať to na menšie nema zmysel, lebo jednému ""pásu"" vieme povedať aby skladal koleso"
Uveďte aspoň 3 príklady prístopov pri tvorbe WBS - work breakdown structure?,"1. top-down: rozklad na menšie ""podčasti"" - od najnižšej úrovne po najvyššiu
2. bottom-up: zoskupenie vecí dokopy, ktoré spadaju do jednej kategórie
3. myšlienková mapa: výsledkom je diagram zoskupujúci myšlienky, ktoré nemusia dávať úplne zmysel
4. podľa štandardov: dopredu predpísaná štruktúra
5. postup podľa analógia: podľa podobného projektu"
Uveďte aspoň 3 príklady odporúčania pri písaní WBS.,"1. Každá jednotka by mala byť len raz
2. Obsah určitej položky v štruktúre rozpisu tvorí súhrn jej podriadených položiek
3. Za jednu položku zodpovedná jeden človek
4. Štruktúra má byť v súlade so skutočnou realizáciou
5. Zapojenie všetkých členov do vytvorenia WBS
6. Štruktúra musí byť flexibilná a musia sa v nej odraziť prípadné zmeny
7.Najnižšiu úroveň je možné vhodne odhadnúť (čas, náklady)"
Čo je to OBS?,"Organizational Breakdown Structure, popisuje čo má ktorý človek robiť na projekte."
Čo vychádza z OBS?,Matica zodpovednosti
"Čo je to RACI matica? 

","Matica zodpovednosti

R – responsible
A – accountable
C – consulted
I – informed
"
Čo popisuje RACI matica?,"Vyjadruje úroveň spoluúčasti, aktivity, úlohy a rozhodnutia"
"Vymenujte činnosti, ktoré spadajú pod plánovanie času.","1. Definovanie činnností
2. Zoradenie činností
3. Odhadovanie zdrojov
4. Odhadovanie doby trvania činnosti
5. Stanovenia časového plánu"
Čo rieši definovanie činnosti?,"Definovanie činnosti rieši AKO to budeme robit, nie ČO budeme robiť."
Čo je výstupom definovania činnosti?,"Zoznam činností, ktoré budú zahrnuté do časového plánu."
Čo definuje zoradenie činnosti a čo je jeho výsledkom?,"Definuje logické väzby medzi činnosťami a výsledkom je sieťový graf, ktorý znazorňuje aký je vzťah medzi činnosťami. (Také kocečky, ktoré sa dajú presúvať)"
Aké typy väzieb v rámci zoradenia činnosti poznáme?,"1. Koniec - začiatok : ďalšia činnosť môže začať až keď iná skončí
2. Koniec - koniec : dve činnosti končia naraz
3. Začiatok - začiatok : dve činnosti začínajú naraz
4. Začiatok - koniec : ???"
Aké druhy sieťových grafov(2) môžu byť použité pri zoradení činností? Definujte základné vlastnosti.,"1. Uzlovo definovaný : Činnosti sú body, prechody sú prázdne šípky
2. Hranovo definovaný : Body sú prázdne a hrany predstavujú činnosti"
Aké typy zdrojov (3) odhadujeme pri odhadovaní zdorjov?,"1. Ľudia - tester, programátor, analytik, ...
2. Zariadenia - server, licencia, ..
3. Materiál - papier, toner, .."
"Uveďte aspoň dve otázky, ktoré sa pýtame pri odhadovaní zdorjov.","1. Aká je náročnosť realizovania činnosti?
2. Existuje v rozsahu projektu niečo výnimočné, čo bude mať vplyv na zdroje?
3. Pracovala firma niekedy na podobných aktivitách? Ktorí zamestnanci to robili?
4. Sú vo firme k dispozícií všetci zamestnanci, zariadenia a pod, ktorí sú schopní zabezpečiť splnenie úloh?
5. Má zmysel zadať časť práce externej firme? Čo znamená outsourcing z pohľadu financií? Kedy budú k dispozícií?"
"Popíšte dva spôsoby, ktorými môžme odhadovať zdroje.","1. Viem koľko mám dispozícii zdrojov (napr. ľudí) a odhadujem koľko mi to bude trvať
2. Mám striktný termín dodania a odhadujem koľko zdrojov (napr. ľudí) budem potrebovať aby som to stihol."
Aké typy odhadov (3) môžme použiť pri odhadovaní času trvania?,"1. Expertný odhad - odborník na vývoj nie je odborník na odhad, čím viac odborníkov a skúsenstí tým lepšie ale stále je to riskatné
2. Analogické odhadovanie - odhad na základe iného podobného projektu
3. Parametrické odhadovanie - odhad pomocou historických dát a daných parametrov"
Čo má vplyv na odhady? Uveďte 2 príklady.,"1. velkosť projektu
2.ľudia
3.typ projektu
4.technológie
5.opakovanie
6. doména"
Uveďte aspoň jeden dôvod prečo bývajú odhady príliš optimistické?,"1. ľudia majú tendenciu byť optimisti
2. ľudia očakávajú, že projekt sa bude vyvíjať priaznivo
3. skúsenosti berieme do úvahy len čiastočne"
Uveďte aspoň dva príklady na čo sa zabúda pri odhadovaní.,"1.analýza - komunikácia so zákazníkmi a subdodávateľmi, stretnutia so zákazníkmi, interné review analýzy
2.dizajn - menenie rozhraní pre treGe strany (parametre a kritéria)
3.implementacie - debugovanie
4.testovanie - nastavenie prostredí (Selenium, SoapUI), podpora akceptačného testovania
5.Projektový manažment - činnosG súvisiace s vedením tímu (rozdelovanie práce, tvorba plánov a aktualizácia, interné stretnutia), akGvity súvisiace s podporou zákazníka"
"O čom hovorí ""Kužel presnosti"" (je to graf) o odhadoch?","Čím viac postupujeme vo fázach prjektu, tým sú odhady presnejšie resp. tým je rozdiel medzi odhadom a realitou menší."
O čom hovorí Parkinsonov zákon?,"Vždy sa nájde dostatok činnosti na využitie celého
času"
O čom hovorí Goldralov zákon?,Nikto nezačne pracovať skôr ako je to nevyhnutné
Ako ovplyvňuje projekt nadhodnotenie a podhodnotenie odhadu?,"Nadhodnotenie
1.Parkinsonov zákon – vždy sa nájde dostatok činností na využitie celého času
2.Goldralov zákon – nikto nezačne pracovať skôr ako je to nevyhnutné

Podhodnotenie
1.vytvára pocit naliehavosti
2.zmenšuje šance na včasné dodanie projektu
3.deštrukBvna dynamika v oneskorenom projekte ju ešte viac zhorší
4.prudko rastú náklady"
"Vymenujte techniky na vytváranie časového plánu.

","1. Ganttov diagram
2. Analýza kritickej cesty
3. Metóda PERT
"
O čom hovorí Ganttov diagram?,"Znázorňuje všetky činnosti v projekte s dátumom zahájenia a ukončenia. 

jedna činnosť = jeden riadok"
Čo je to kritická cesta a ako sa využíva pri vytváraní časového plánu(CPM – critical path method)?,"Je to najdlhšia cesta z počitku sieťového grafu po koniec.
Využíva sa na určenie doby trvania celého projektu. "
Ako môžme optimalizovať trvanie projektu pomocou analýzy kritickej cesty (CPM - critical path method)?,"Snažíme sa aby bola kritická cesta, čo najkratšia, činnosti, ktoré môžu začínať spolu a nezávisia od seba sa snažíme zoradiť tak aby začínali spolu."
"Popíšte v skratke metódu PERTH(program evaluation and review technique), kedy sa pouźíva a na čo?","Používa sa vtedy, keď máme v projekte vysokú mieru neistoty a pracuje s pravdepodobnosťami."
V akej jednotke sa počíta pracnosť projektu?,Človekodni
"Uveďte aspoň 3 príklady, čo sa ráta pri plánovaní nákladov.","Hardware, personálne náklady(náklady na ľudí), WS licencie, služby, ..."
Čo by malo byť vstupom pri odhade nákladov?,"zakladacia listina projektu (očakávaný finančný rámec), definovaný rozsah
projektu, časový plán projektu, požiadavky na zdroje."
Aké druhy nákladov poznáme?,"1. priame náklady: vieme ich jednoznačne vyčísliť
2. nepriame náklady: nie je možné ich jednoznačne prideliť jednému projektu
3. režijné náklady: náklady na réžiu"
